"delivery_id","total_cbm","delivery_date","metro_name","city","zip","population","lat","lng"
"32055",0.3024,2022-02-14,"Los Angeles, CA",Carson,"90746",27075.0,33.85888,-118.25526
"25148",0.5329309,2022-01-10,"Los Angeles, CA",Carson,"90746",27075.0,33.85888,-118.25526
"33011",0.5329309,2022-02-10,"Los Angeles, CA",Signal Hill,"90755",11545.0,33.80289,-118.16772
"31696",1.714314,2022-02-18,"Los Angeles, CA",Signal Hill,"90755",11545.0,33.80289,-118.16772
"25242",2.8393629,2022-01-24,"Los Angeles, CA",Signal Hill,"90755",11545.0,33.80289,-118.16772
"27303",0.5150145,2022-01-20,"Los Angeles, CA",Long Beach,"90802",38962.0,33.75021,-118.2114
"26118",1.0483375,2022-02-04,"Los Angeles, CA",Long Beach,"90802",38962.0,33.75021,-118.2114
"32187",1.37208,2022-02-08,"Los Angeles, CA",Long Beach,"90802",38962.0,33.75021,-118.2114
"25819",1.69912,2022-01-14,"Los Angeles, CA",Long Beach,"90802",38962.0,33.75021,-118.2114
"36531",1.507846,2022-02-28,"Los Angeles, CA",Long Beach,"90804",39239.0,33.78185,-118.14863
"24977",0.407067,2022-01-10,"Los Angeles, CA",Long Beach,"90806",41990.0,33.8045,-118.18762
"30039",0.90045,2022-02-01,"Los Angeles, CA",Long Beach,"90808",39330.0,33.82406,-118.11239
"29708",0.5185092,2022-02-01,"Los Angeles, CA",Long Beach,"90808",39330.0,33.82406,-118.11239
"35979",1.0658618,2022-02-23,"Los Angeles, CA",Long Beach,"90808",39330.0,33.82406,-118.11239
"25274",1.021815,2022-01-21,"Los Angeles, CA",Long Beach,"90808",39330.0,33.82406,-118.11239
"26739",1.075604,2022-01-17,"Los Angeles, CA",Long Beach,"90808",39330.0,33.82406,-118.11239
"25016",0.5329309,2022-01-13,"Los Angeles, CA",Long Beach,"90808",39330.0,33.82406,-118.11239
"23418",0.7266485,2022-01-10,"Los Angeles, CA",Long Beach,"90808",39330.0,33.82406,-118.11239
"26632",0.45276,2022-01-14,"Los Angeles, CA",Long Beach,"90808",39330.0,33.82406,-118.11239
"30166",0.187704,2022-02-01,"Los Angeles, CA",Long Beach,"90808",39330.0,33.82406,-118.11239
"30248",1.168009,2022-02-03,"Los Angeles, CA",Long Beach,"90808",39330.0,33.82406,-118.11239
"27275",0.5185092,2022-01-20,"Los Angeles, CA",Long Beach,"90808",39330.0,33.82406,-118.11239
"25015",0.5329309,2022-01-21,"Los Angeles, CA",Long Beach,"90808",39330.0,33.82406,-118.11239
"32515",0.5472,2022-02-10,"Los Angeles, CA",Long Beach,"90810",37251.0,33.81894,-118.2211
"32258",1.0972325,2022-02-08,"Los Angeles, CA",Long Beach,"90810",37251.0,33.81894,-118.2211
"33982",1.770334,2022-02-14,"Los Angeles, CA",Long Beach,"90814",19685.0,33.77163,-118.14362
"34863",0.61446,2022-02-17,"Los Angeles, CA",Long Beach,"90814",19685.0,33.77163,-118.14362
"36428",2.901103,2022-02-25,"Los Angeles, CA",Long Beach,"90814",19685.0,33.77163,-118.14362
"34570",0.320131,2022-02-16,"Los Angeles, CA",Long Beach,"90814",19685.0,33.77163,-118.14362
"35960",0.510494,2022-02-23,"Los Angeles, CA",Altadena,"91001",37818.0,34.19544,-118.13796
"30970",0.424402,2022-02-03,"Los Angeles, CA",Altadena,"91001",37818.0,34.19544,-118.13796
